"No.","Time","Source","Destination","Protocol","Length","Info"
"46","4.968804","172.19.33.78","202.203.85.88","DNS","75","Standard query 0x13f3 A www.yxnu.edu.cn"
"77","5.119830","202.203.85.88","172.19.33.78","DNS","91","Standard query response 0x13f3 A www.yxnu.edu.cn A 202.203.86.93"
