"No.","Time","Source","Destination","Protocol","Length","Info"
"378","22.208884","172.19.60.215","202.203.85.88","DNS","92","Standard query 0xb550 A mobile.events.data.microsoft.com"
"382","22.254688","202.203.85.88","172.19.60.215","DNS","218","Standard query response 0xb550 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus15.centralus.cloudapp.azure.com A 13.89.179.11"
