"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.19.60.60","202.203.85.88","DNS","75","Standard query 0x77f3 A www.yxnu.edu.cn"
"3","0.046312","202.203.85.88","172.19.60.60","DNS","91","Standard query response 0x77f3 A www.yxnu.edu.cn A 202.203.86.93"
