"No.","Time","Source","Destination","Protocol","Length","Info"
"389","13.853688100","10.202.148.132","10.202.148.55","DNS","72","Standard query 0xd172 A www.cnki.net"
"390","13.856474200","10.202.148.55","10.202.148.132","DNS","102","Standard query response 0xd172 A www.cnki.net CNAME cnki.net A 115.31.65.10"
